Latitude,Longitude,Date,MODIS_Tile,MCD12Q1_061_Line_Y_500m,MCD12Q1_061_Sample_X_500m,MCD12Q1_061_LC_Type5,MCD12Q1_061_QC,MCD12Q1_061_QC_bitmask,MCD12Q1_061_QC_Name,MCD12Q1_061_QC_Name_Description
-35.2768027,149.1141933,2001-01-01,h30v12,1266.0,415.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.2768027,149.1141933,2002-01-01,h30v12,1266.0,415.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.2768027,149.1141933,2003-01-01,h30v12,1266.0,415.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.2768027,149.1141933,2004-01-01,h30v12,1266.0,415.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.2768027,149.1141933,2005-01-01,h30v12,1266.0,415.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.2768027,149.1141933,2006-01-01,h30v12,1266.0,415.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.2768027,149.1141933,2007-01-01,h30v12,1266.0,415.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.2768027,149.1141933,2008-01-01,h30v12,1266.0,415.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.2768027,149.1141933,2009-01-01,h30v12,1266.0,415.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.2768027,149.1141933,2010-01-01,h30v12,1266.0,415.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.2768027,149.1141933,2011-01-01,h30v12,1266.0,415.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.2768027,149.1141933,2012-01-01,h30v12,1266.0,415.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.2768027,149.1141933,2013-01-01,h30v12,1266.0,415.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.2768027,149.1141933,2014-01-01,h30v12,1266.0,415.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.2768027,149.1141933,2015-01-01,h30v12,1266.0,415.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.2768027,149.1141933,2016-01-01,h30v12,1266.0,415.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.2768027,149.1141933,2017-01-01,h30v12,1266.0,415.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.2768027,149.1141933,2018-01-01,h30v12,1266.0,415.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.2768027,149.1141933,2019-01-01,h30v12,1266.0,415.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.2768027,149.1141933,2020-01-01,h30v12,1266.0,415.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.271875,149.113982,2001-01-01,h30v12,1265.0,417.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.271875,149.113982,2002-01-01,h30v12,1265.0,417.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.271875,149.113982,2003-01-01,h30v12,1265.0,417.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.271875,149.113982,2004-01-01,h30v12,1265.0,417.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.271875,149.113982,2005-01-01,h30v12,1265.0,417.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.271875,149.113982,2006-01-01,h30v12,1265.0,417.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.271875,149.113982,2007-01-01,h30v12,1265.0,417.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.271875,149.113982,2008-01-01,h30v12,1265.0,417.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.271875,149.113982,2009-01-01,h30v12,1265.0,417.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.271875,149.113982,2010-01-01,h30v12,1265.0,417.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.271875,149.113982,2011-01-01,h30v12,1265.0,417.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.271875,149.113982,2012-01-01,h30v12,1265.0,417.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.271875,149.113982,2013-01-01,h30v12,1265.0,417.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.271875,149.113982,2014-01-01,h30v12,1265.0,417.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.271875,149.113982,2015-01-01,h30v12,1265.0,417.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.271875,149.113982,2016-01-01,h30v12,1265.0,417.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.271875,149.113982,2017-01-01,h30v12,1265.0,417.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.271875,149.113982,2018-01-01,h30v12,1265.0,417.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.271875,149.113982,2019-01-01,h30v12,1265.0,417.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.271875,149.113982,2020-01-01,h30v12,1265.0,417.0,9.0,0.0,0b00000000,0b00000000,Classified land (Has a classification label and is land according to the water mask.)
-35.2028731,149.086268,2001-01-01,h30v12,1248.0,436.0,9.0,9.0,0b00001001,0b00001001,Forest type changed (Climate-based change to forest class.)
-35.2028731,149.086268,2002-01-01,h30v12,1248.0,436.0,9.0,9.0,0b00001001,0b00001001,Forest type changed (Climate-based change to forest class.)
